position;time;model;response;gpu;diff_time;norm_time
0;5.388396263122559;openai/whisper-large-v3;;RTX-PRO-6000;0.0;0.0
1;8.963193416595459;openai/whisper-large-v3;;RTX-PRO-6000;3.5747971534729004;0.04086709103215579
3;9.83377170562744;openai/whisper-large-v3;;RTX-PRO-6000;0.8705782890319806;0.0508195444612754
2;9.852170944213867;openai/whisper-large-v3;;RTX-PRO-6000;0.018399238586427558;0.05102988460812916
4;11.070643186569214;openai/whisper-large-v3;;RTX-PRO-6000;1.2184722423553467;0.06495946268226266
5;11.279181241989136;openai/whisper-large-v3;;RTX-PRO-6000;0.20853805541992188;0.0673434703136426
6;11.745418310165403;openai/whisper-large-v3;;RTX-PRO-6000;0.46623706817626775;0.07267349377783114
7;12.412177801132202;openai/whisper-large-v3;;RTX-PRO-6000;0.6667594909667987;0.08029589013881688
8;12.769817352294922;openai/whisper-large-v3;;RTX-PRO-6000;0.3576395511627197;0.08438442648552039
9;13.105074882507324;openai/whisper-large-v3;;RTX-PRO-6000;0.33525753021240234;0.08821709150627423
10;13.870237112045288;openai/whisper-large-v3;;RTX-PRO-6000;0.7651622295379639;0.09696442824914833
11;13.959242582321169;openai/whisper-large-v3;;RTX-PRO-6000;0.08900547027588068;0.0979819390336667
12;14.536767482757568;openai/whisper-large-v3;;RTX-PRO-6000;0.5775249004363996;0.10458420530674517
13;14.645462036132812;openai/whisper-large-v3;;RTX-PRO-6000;0.10869455337524414;0.10582680174418783
14;14.821885585784912;openai/whisper-large-v3;;RTX-PRO-6000;0.1764235496520996;0.10784367625603085
15;15.3880877494812;openai/whisper-large-v3;;RTX-PRO-6000;0.5662021636962873;0.11431650097110602
17;15.688555002212524;openai/whisper-large-v3;;RTX-PRO-6000;0.300467252731325;0.1177514434426316
16;15.798860788345335;openai/whisper-large-v3;;RTX-PRO-6000;0.11030578613281072;0.11901245949745409
18;16.780093908309937;openai/whisper-large-v3;;RTX-PRO-6000;0.9812331199646014;0.13022991926252145
19;17.45974040031433;openai/whisper-large-v3;;RTX-PRO-6000;0.6796464920043945;0.13799963985532362
21;17.526139497756958;openai/whisper-large-v3;;RTX-PRO-6000;0.06639909744262695;0.13875871452254063
20;17.68528938293457;openai/whisper-large-v3;;RTX-PRO-6000;0.1591498851776123;0.14057811645391793
22;17.71234631538391;openai/whisper-large-v3;;RTX-PRO-6000;0.02705693244934082;0.1408874313811674
23;19.14085960388184;openai/whisper-large-v3;;RTX-PRO-6000;1.4285132884979284;0.15721819928081562
24;19.229616403579712;openai/whisper-large-v3;;RTX-PRO-6000;0.08875679969787242;0.15823286726259242
25;19.58073663711548;openai/whisper-large-v3;;RTX-PRO-6000;0.3511202335357666;0.16224687475199576
26;19.652193784713745;openai/whisper-large-v3;;RTX-PRO-6000;0.0714571475982666;0.16306377306270398
28;20.050997257232662;openai/whisper-large-v3;;RTX-PRO-6000;0.39880347251891735;0.16762289547319853
27;20.12210178375244;openai/whisper-large-v3;;RTX-PRO-6000;0.07110452651977894;0.16843576261875365
29;20.51521944999695;openai/whisper-large-v3;;RTX-PRO-6000;0.39311766624450684;0.1729298848760558
30;20.54729104042053;openai/whisper-large-v3;;RTX-PRO-6000;0.03207159042358043;0.17329652738725765
