position;time;model;response;gpu;diff_time;norm_time
0;5.212945938110352;openai/gpt-oss-120b;;H100-NVL;0.0;0.0
3;5.216423749923706;openai/gpt-oss-120b;;H100-NVL;0.003477811813354492;1.1091761144603079e-05
2;5.230650663375855;openai/gpt-oss-120b;;H100-NVL;0.014226913452149326;5.646555774574082e-05
4;5.272655725479126;openai/gpt-oss-120b;;H100-NVL;0.042005062103270596;0.00019043201157301296
1;5.371050119400024;openai/gpt-oss-120b;;H100-NVL;0.09839439392089844;0.0005042405710666109
7;5.453264474868774;openai/gpt-oss-120b;;H100-NVL;0.08221435546875;0.0007664462459151588
5;5.49630618095398;openai/gpt-oss-120b;;H100-NVL;0.043041706085205966;0.00090371886121887
6;5.857685089111328;openai/gpt-oss-120b;;H100-NVL;0.36137890815734774;0.002056262111715382
8;6.118133544921875;openai/gpt-oss-120b;;H100-NVL;0.2604484558105469;0.002886908569133933
10;6.255531311035156;openai/gpt-oss-120b;;H100-NVL;0.13739776611328125;0.0033251103135982516
11;6.326189279556274;openai/gpt-oss-120b;;H100-NVL;0.07065796852111816;0.003550459283542429
9;6.467955827713013;openai/gpt-oss-120b;;H100-NVL;0.14176654815673828;0.004002594354339353
13;6.950439691543579;openai/gpt-oss-120b;;H100-NVL;0.4824838638305664;0.005541376801734632
12;7.20935320854187;openai/gpt-oss-120b;;H100-NVL;0.258913516998291;0.006367127889423358
14;7.429165840148926;openai/gpt-oss-120b;;H100-NVL;0.21981263160705566;0.007068174793971202
15;8.088951110839844;openai/gpt-oss-120b;;H100-NVL;0.659785270690918;0.009172423391071763
18;8.092852115631104;openai/gpt-oss-120b;;H100-NVL;0.0039010047912597656;0.009184864838651663
16;8.149543523788452;openai/gpt-oss-120b;;H100-NVL;0.05669140815734863;0.009365670354297435
17;8.387033939361572;openai/gpt-oss-120b;;H100-NVL;0.23749041557312012;0.010123096892891191
19;8.860420942306519;openai/gpt-oss-120b;;H100-NVL;0.4733870029449463;0.011632866784828026
20;8.94446349143982;openai/gpt-oss-120b;;H100-NVL;0.08404254913330078;0.011900903105077056
21;9.041050672531128;openai/gpt-oss-120b;;H100-NVL;0.0965871810913086;0.012208947933201894
22;9.178684949874878;openai/gpt-oss-120b;;H100-NVL;0.13763427734375;0.01264790398129653
24;9.735544204711914;openai/gpt-oss-120b;;H100-NVL;0.5568592548370361;0.014423891348438321
23;9.735663414001465;openai/gpt-oss-120b;;H100-NVL;0.00011920928955078125;0.014424271541800376
