position;time;model;response;gpu;diff_time;norm_time
0;5.212945938110352;openai/gpt-oss-120b;;H100-NVL;0.0;0.0
3;5.216423749923706;openai/gpt-oss-120b;;H100-NVL;0.003477811813354492;1.7305363332728962e-05
2;5.230650663375855;openai/gpt-oss-120b;;H100-NVL;0.014226913452149326;8.809755095120207e-05
4;5.272655725479126;openai/gpt-oss-120b;;H100-NVL;0.042005062103270596;0.0002971119831639113
1;5.371050119400024;openai/gpt-oss-120b;;H100-NVL;0.09839439392089844;0.0007867160296411795
7;5.453264474868774;openai/gpt-oss-120b;;H100-NVL;0.08221435546875;0.0011958092666845466
5;5.49630618095398;openai/gpt-oss-120b;;H100-NVL;0.043041706085205966;0.0014099819713159047
6;5.857685089111328;openai/gpt-oss-120b;;H100-NVL;0.36137890815734774;0.0032081797008289784
8;6.118133544921875;openai/gpt-oss-120b;;H100-NVL;0.2604484558105469;0.004504154123580272
10;6.255531311035156;openai/gpt-oss-120b;;H100-NVL;0.13739776611328125;0.005187836390276077
11;6.326189279556274;openai/gpt-oss-120b;;H100-NVL;0.07065796852111816;0.005539425804319464
9;6.467955827713013;openai/gpt-oss-120b;;H100-NVL;0.14176654815673828;0.006244846843738168
13;6.950439691543579;openai/gpt-oss-120b;;H100-NVL;0.4824838638305664;0.008645654884502566
12;7.20935320854187;openai/gpt-oss-120b;;H100-NVL;0.258913516998291;0.009933991552462874
14;7.429165840148926;openai/gpt-oss-120b;;H100-NVL;0.21981263160705566;0.011027764780926994
15;8.088951110839844;openai/gpt-oss-120b;;H100-NVL;0.659785270690918;0.014310812985848785
18;8.092852115631104;openai/gpt-oss-120b;;H100-NVL;0.0039010047912597656;0.014330224129665205
16;8.149543523788452;openai/gpt-oss-120b;;H100-NVL;0.05669140815734863;0.014612316855970794
17;8.387033939361572;openai/gpt-oss-120b;;H100-NVL;0.23749041557312012;0.015794053577248276
19;8.860420942306519;openai/gpt-oss-120b;;H100-NVL;0.4733870029449463;0.018149596235277343
20;8.94446349143982;openai/gpt-oss-120b;;H100-NVL;0.08404254913330078;0.018567786444010255
21;9.041050672531128;openai/gpt-oss-120b;;H100-NVL;0.0965871810913086;0.01904839791805576
22;9.178684949874878;openai/gpt-oss-120b;;H100-NVL;0.13763427734375;0.01973325704911203
24;9.735544204711914;openai/gpt-oss-120b;;H100-NVL;0.5568592548370361;0.022504152154230635
23;9.735663414001465;openai/gpt-oss-120b;;H100-NVL;0.00011920928955078125;0.022504745331831673
26;10.425166845321655;openai/gpt-oss-120b;;H100-NVL;0.6895034313201904;0.02593566915362703
27;10.527132511138916;openai/gpt-oss-120b;;H100-NVL;0.10196566581726074;0.02644304361467624
25;10.577625036239624;openai/gpt-oss-120b;;H100-NVL;0.05049252510070801;0.02669429110572777
28;11.582298994064333;openai/gpt-oss-120b;;H100-NVL;1.0046739578247088;0.03169348278261084
29;12.722793340682983;openai/gpt-oss-120b;;H100-NVL;1.1404943466186506;0.03736850780017274
30;13.217596530914308;openai/gpt-oss-120b;;H100-NVL;0.494803190231325;0.03983061600058378
33;13.60285711288452;openai/gpt-oss-120b;;H100-NVL;0.3852605819702113;0.04174764737162351
31;13.634769439697266;openai/gpt-oss-120b;;H100-NVL;0.03191232681274592;0.04190644101542182
34;13.817872285842896;openai/gpt-oss-120b;;H100-NVL;0.18310284614562988;0.0428175487607114
32;14.051274061203005;openai/gpt-oss-120b;;H100-NVL;0.2334017753601092;0.04397894067662844
35;14.428606271743774;openai/gpt-oss-120b;;H100-NVL;0.3773322105407697;0.045856520991778234
36;14.44537115097046;openai/gpt-oss-120b;;H100-NVL;0.016764879226686347;0.045939941930522844
37;14.516084432601929;openai/gpt-oss-120b;;H100-NVL;0.07071328163146795;0.0462918065789731
38;14.584883213043211;openai/gpt-oss-120b;;H100-NVL;0.0687987804412824;0.04663414479515067
40;14.91952419281006;openai/gpt-oss-120b;;H100-NVL;0.33464097976684926;0.04829929634781619
41;14.983344078063965;openai/gpt-oss-120b;;H100-NVL;0.06381988525390447;0.04861685990830873
39;14.985561609268188;openai/gpt-oss-120b;;H100-NVL;0.002217531204223633;0.048627894198043274
43;15.010104417800903;openai/gpt-oss-120b;;H100-NVL;0.024542808532714844;0.048750017602545305
42;15.147011518478394;openai/gpt-oss-120b;;H100-NVL;0.13690710067749023;0.04943125835023523
45;15.19392228126526;openai/gpt-oss-120b;;H100-NVL;0.04691076278686701;0.049664683227085935
44;15.465662717819214;openai/gpt-oss-120b;;H100-NVL;0.2717404365539533;0.051016845804918096
46;15.516075372695925;openai/gpt-oss-120b;;H100-NVL;0.05041265487671076;0.05126769586697694
47;15.739294528961182;openai/gpt-oss-120b;;H100-NVL;0.223219156265257;0.052378419738568355
48;16.715867042541504;openai/gpt-oss-120b;;H100-NVL;0.9765725135803223;0.05723778047320315
49;17.242196559906006;openai/gpt-oss-120b;;H100-NVL;0.526329517364502;0.05985676160834032
53;17.440413236618042;openai/gpt-oss-120b;;H100-NVL;0.19821667671203613;0.06084307478260011
50;17.486178874969482;openai/gpt-oss-120b;;H100-NVL;0.04576563835144043;0.06107080159541521
52;17.51379632949829;openai/gpt-oss-120b;;H100-NVL;0.027617454528808594;0.061208224236603256
56;17.575533866882324;openai/gpt-oss-120b;;H100-NVL;0.0617375373840332;0.06151542617076085
51;17.60516381263733;openai/gpt-oss-120b;;H100-NVL;0.029629945755004883;0.06166286283620964
55;17.970702648162842;openai/gpt-oss-120b;;H100-NVL;0.3655388355255127;0.0634817600912886
57;18.010688066482544;openai/gpt-oss-120b;;H100-NVL;0.03998541831970215;0.06368072490858451
54;18.098337173461918;openai/gpt-oss-120b;;H100-NVL;0.08764910697937367;0.06411686111245928
58;18.303307056427;openai/gpt-oss-120b;;H100-NVL;0.20496988296508079;0.06513677779781793
59;20.665251970291138;openai/gpt-oss-120b;;H100-NVL;2.3619449138641393;0.07688966067358376
60;20.86443662643433;openai/gpt-oss-120b;;H100-NVL;0.19918465614319203;0.07788079044996402
61;20.92174458503723;openai/gpt-oss-120b;;H100-NVL;0.05730795860290172;0.07816595109082215
62;21.19279837608337;openai/gpt-oss-120b;;H100-NVL;0.271053791046139;0.07951469696567232
64;21.84134531021118;openai/gpt-oss-120b;;H100-NVL;0.6485469341278112;0.08274182394543372
66;21.871914625167847;openai/gpt-oss-120b;;H100-NVL;0.03056931495666504;0.08289393485037871
63;21.88822078704834;openai/gpt-oss-120b;;H100-NVL;0.016306161880493164;0.0829750732417145
67;22.016419649124146;openai/gpt-oss-120b;;H100-NVL;0.12819886207580566;0.0836129823656485
65;22.279980659484863;openai/gpt-oss-120b;;H100-NVL;0.2635610103607178;0.08492444465556293
69;22.793474674224854;openai/gpt-oss-120b;;H100-NVL;0.5134940147399902;0.08747955717204096
68;23.024082899093628;openai/gpt-oss-120b;;H100-NVL;0.23060822486877441;0.08862704856405522
70;23.265113830566406;openai/gpt-oss-120b;;H100-NVL;0.24103093147277832;0.08982640266008358
71;23.31286096572876;openai/gpt-oss-120b;;H100-NVL;0.047747135162353516;0.09006398927098318
72;24.215528964996334;openai/gpt-oss-120b;;H100-NVL;0.9026679992675746;0.09455560599278785
73;24.818564891815186;openai/gpt-oss-120b;;H100-NVL;0.6030359268188512;0.09755627318708997
74;25.07486128807068;openai/gpt-oss-120b;;H100-NVL;0.25629639625549316;0.09883158723399706
75;25.69148278236389;openai/gpt-oss-120b;;H100-NVL;0.6166214942932129;0.10189985532042403
76;27.938295125961304;openai/gpt-oss-120b;;H100-NVL;2.246812343597412;0.11307984608275061
77;30.313865900039676;openai/gpt-oss-120b;;H100-NVL;2.3755707740783727;0.12490053034467047
78;31.21070098876953;openai/gpt-oss-120b;;H100-NVL;0.8968350887298548;0.1293631228864563
79;31.99731683731079;openai/gpt-oss-120b;;H100-NVL;0.7866158485412598;0.13327727172280732
80;32.33462691307068;openai/gpt-oss-120b;;H100-NVL;0.3373100757598877;0.1349557045219601
81;32.579283714294434;openai/gpt-oss-120b;;H100-NVL;0.24465680122375488;0.1361731007079017
82;33.161314964294434;openai/gpt-oss-120b;;H100-NVL;0.58203125;0.1390692500089006
84;33.325191497802734;openai/gpt-oss-120b;;H100-NVL;0.16387653350830078;0.13988468888433933
83;33.45128655433655;openai/gpt-oss-120b;;H100-NVL;0.12609505653381348;0.14051212960997017
86;33.978296518325806;openai/gpt-oss-120b;;H100-NVL;0.5270099639892578;0.14313449660285407
85;34.32191181182861;openai/gpt-oss-120b;;H100-NVL;0.3436152935028076;0.14484430375168103
87;35.11367702484131;openai/gpt-oss-120b;;H100-NVL;0.7917652130126953;0.14878407548768657
89;35.54789900779724;openai/gpt-oss-120b;;H100-NVL;0.4342219829559326;0.1509447355766701
88;35.65663528442383;openai/gpt-oss-120b;;H100-NVL;0.10873627662658691;0.15148580015274796
90;36.55950689315796;openai/gpt-oss-120b;;H100-NVL;0.9028716087341309;0.15597843002189524
92;37.38864183425903;openai/gpt-oss-120b;;H100-NVL;0.8291349411010742;0.16010415107227466
91;37.53077960014343;openai/gpt-oss-120b;;H100-NVL;0.14213776588439941;0.160811419266743
93;37.55516576766968;openai/gpt-oss-120b;;H100-NVL;0.024386167526245117;0.16093276323587727
94;38.52638030052185;openai/gpt-oss-120b;;H100-NVL;0.9712145328521729;0.16576546301005574
95;39.14074611663818;openai/gpt-oss-120b;;H100-NVL;0.6143658161163259;0.16882250698991583
96;40.580140590667725;openai/gpt-oss-120b;;H100-NVL;1.4393944740295481;0.17598483942451
97;44.175270080566406;openai/gpt-oss-120b;;H100-NVL;3.5951294898986816;0.19387396781610525
98;47.82537817955017;openai/gpt-oss-120b;;H100-NVL;3.6501080989837646;0.21203666615823435
99;48.73929953575134;openai/gpt-oss-120b;;H100-NVL;0.9139213562011719;0.21658427884557718
100;48.88049244880676;openai/gpt-oss-120b;;H100-NVL;0.14119291305541992;0.21728684551437968
101;51.791383504867554;openai/gpt-oss-120b;;H100-NVL;2.910891056060791;0.2317712483661071
102;53.02372407913208;openai/gpt-oss-120b;;H100-NVL;1.2323405742645264;0.23790329418452116
103;53.83156371116638;openai/gpt-oss-120b;;H100-NVL;0.8078396320343018;0.2419230511746061
104;56.33376669883728;openai/gpt-oss-120b;;H100-NVL;2.5022029876708984;0.2543738490204271
105;56.65087366104126;openai/gpt-oss-120b;;H100-NVL;0.3171069622039795;0.25595175245246604
106;56.84896731376648;openai/gpt-oss-120b;;H100-NVL;0.19809365272521973;0.25693745346744157
108;58.19904899597168;openai/gpt-oss-120b;;H100-NVL;1.3500816822052002;0.26365537131156086
107;58.33657908439636;openai/gpt-oss-120b;;H100-NVL;0.13753008842468262;0.2643397120053938
109;58.93448567390442;openai/gpt-oss-120b;;H100-NVL;0.5979065895080566;0.2673148559538784
110;61.610697746276855;openai/gpt-oss-120b;;H100-NVL;2.6762120723724365;0.2806315115848712
111;61.63974857330322;openai/gpt-oss-120b;;H100-NVL;0.029050827026367188;0.28077606659353416
112;65.02170300483704;openai/gpt-oss-120b;;H100-NVL;3.3819544315338135;0.2976044498854912
113;66.13242316246033;openai/gpt-oss-120b;;H100-NVL;1.110720157623291;0.303131320492707
114;66.76348614692688;openai/gpt-oss-120b;;H100-NVL;0.6310629844665527;0.30627144848643434
115;67.21185517311096;openai/gpt-oss-120b;;H100-NVL;0.44836902618408203;0.30850250333404367
116;67.48281574249268;openai/gpt-oss-120b;;H100-NVL;0.27096056938171387;0.3098507853440098
117;68.219402551651;openai/gpt-oss-120b;;H100-NVL;0.7365868091583252;0.31351599296382215
118;69.95036268234253;openai/gpt-oss-120b;;H100-NVL;1.7309601306915283;0.32212913697036694
